extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
05/04/2020,01/23/2020,1,1,0,0
05/04/2020,04/20/2020,11339,3624,444,100
05/04/2020,04/21/2020,9635,2947,427,101
05/04/2020,03/29/2020,4787,3440,1350,451
05/04/2020,02/04/2020,1,0,0,0
05/04/2020,03/13/2020,2158,683,193,45
05/04/2020,02/05/2020,1,0,0,0
05/04/2020,03/19/2020,7702,3875,808,223
05/04/2020,02/27/2020,1,0,0,1
05/04/2020,04/19/2020,6680,2228,391,87
05/04/2020,04/17/2020,10046,3410,554,141
05/04/2020,02/28/2020,1,0,0,0
05/04/2020,03/06/2020,79,11,4,2
05/04/2020,04/10/2020,7525,4159,1149,385
05/04/2020,03/27/2020,7289,5018,1566,541
05/04/2020,04/04/2020,6145,3716,1344,456
05/04/2020,04/14/2020,9289,3999,912,243
05/04/2020,04/06/2020,10781,6177,1758,627
05/04/2020,03/31/2020,7582,5193,1604,588
05/04/2020,03/20/2020,7762,4131,892,248
05/04/2020,04/24/2020,9260,2299,286,47
05/04/2020,04/16/2020,9435,3384,585,151
05/04/2020,03/05/2020,63,5,3,1
05/04/2020,04/25/2020,6036,1469,204,25
05/04/2020,04/30/2020,9370,1575,58,8
05/04/2020,04/11/2020,6744,3490,918,286
05/04/2020,04/09/2020,9028,4822,1284,444
05/04/2020,03/14/2020,1704,687,218,60
05/04/2020,03/08/2020,109,27,16,4
05/04/2020,03/09/2020,397,69,30,14
05/04/2020,02/26/2020,1,0,0,0
05/04/2020,03/04/2020,32,6,5,1
05/04/2020,04/05/2020,6164,3583,1306,432
05/04/2020,02/29/2020,2,1,0,0
05/04/2020,04/01/2020,7904,5038,1398,535
05/04/2020,04/15/2020,9736,3727,734,215
05/04/2020,03/03/2020,11,2,0,0
05/04/2020,04/13/2020,6600,3161,1005,282
05/04/2020,04/26/2020,4292,916,193,24
05/04/2020,05/02/2020,2726,295,3,1
05/04/2020,04/27/2020,9960,2081,236,14
05/04/2020,03/26/2020,7176,4974,1594,520
05/04/2020,03/16/2020,4938,2228,465,108
05/04/2020,03/17/2020,5519,2567,514,132
05/04/2020,03/15/2020,2348,1090,287,82
05/04/2020,03/01/2020,1,0,0,0
05/04/2020,03/24/2020,7079,4486,1315,435
05/16/2020,02/04/2020,1,0,0,0
05/16/2020,03/30/2020,8524,6064,1921,686
05/16/2020,04/13/2020,6703,3256,1143,356
05/16/2020,04/27/2020,10191,2219,368,59
05/16/2020,03/08/2020,109,27,22,4
05/16/2020,05/09/2020,5301,594,63,4
05/16/2020,03/12/2020,1566,398,94,31
05/16/2020,03/26/2020,7285,5084,1686,549
05/16/2020,04/06/2020,10916,6333,1883,698
05/16/2020,03/11/2020,791,181,65,22
05/16/2020,04/18/2020,6543,2159,552,146
05/16/2020,03/15/2020,2353,1100,298,86
05/16/2020,02/27/2020,1,0,0,0
05/16/2020,05/06/2020,11555,1322,125,14
05/16/2020,02/28/2020,1,0,0,0
05/16/2020,02/29/2020,2,1,0,0
05/16/2020,03/13/2020,2159,685,198,46
05/16/2020,04/26/2020,4347,967,281,62
05/05/2020,03/19/2020,7702,3877,808,223
05/05/2020,04/01/2020,7904,5038,1399,536
05/05/2020,04/16/2020,9447,3391,590,156
05/05/2020,03/26/2020,7176,4975,1594,522
05/05/2020,04/03/2020,9406,5544,1709,624
05/05/2020,04/24/2020,9274,2304,295,52
05/05/2020,04/11/2020,6747,3493,922,293
05/05/2020,04/22/2020,11260,3320,357,79
05/05/2020,03/30/2020,8434,5970,1805,652
05/05/2020,04/26/2020,4306,919,198,26
05/05/2020,02/04/2020,1,0,0,0
05/05/2020,04/13/2020,6602,3167,1006,293
05/05/2020,02/28/2020,1,0,0,0
