"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2020","7,006.92","6,952.71","7,145.29","6,771.91","361.83M","0.18%"
"Mar 20, 2020","6,994.29","7,391.21","7,487.83","6,969.77","493.59M","-4.04%"
"Mar 19, 2020","7,288.52","7,190.21","7,514.13","7,037.47","374.51M","1.58%"
"Mar 18, 2020","7,175.18","7,023.86","7,336.88","6,837.53","430.31M","-4.00%"
"Mar 17, 2020","7,473.95","7,198.53","7,550.13","6,959.15","415.15M","6.46%"
"Mar 16, 2020","7,020.38","7,502.26","7,563.45","6,993.61","441.74M","-12.19%"
"Mar 13, 2020","7,995.26","7,683.04","7,998.51","7,301.88","423.68M","10.07%"
"Mar 12, 2020","7,263.65","7,452.76","7,808.31","7,255.62","454.89M","-9.27%"
"Mar 11, 2020","8,006.12","8,166.26","8,224.73","7,900.99","316.15M","-4.37%"
"Mar 10, 2020","8,372.26","8,213.97","8,376.44","7,942.13","336.12M","5.34%"
"Mar 09, 2020","7,948.03","7,912.14","8,241.77","7,912.14","380.28M","-6.83%"
"Mar 06, 2020","8,530.34","8,395.95","8,571.88","8,319.90","306.19M","-1.63%"
"Mar 05, 2020","8,671.66","8,713.19","8,864.19","8,613.91","265.85M","-3.10%"
"Mar 04, 2020","8,949.28","8,745.64","8,952.11","8,669.76","256.13M","4.13%"
"Mar 03, 2020","8,594.49","8,892.68","9,000.46","8,516.58","353.15M","-3.19%"
"Mar 02, 2020","8,877.98","8,569.91","8,879.39","8,446.50","350.57M","4.92%"
"Feb 28, 2020","8,461.83","8,133.85","8,490.47","8,133.85","467.92M","0.30%"
"Feb 27, 2020","8,436.67","8,632.54","8,786.68","8,430.54","358.27M","-4.93%"
"Feb 26, 2020","8,873.76","8,883.01","9,032.88","8,813.92","250.71M","0.44%"
"Feb 25, 2020","8,834.87","9,167.33","9,183.78","8,807.11","279.61M","-2.70%"
"Feb 24, 2020","9,079.63","9,055.30","9,194.91","9,028.87","270.43M","-3.89%"
"Feb 21, 2020","9,446.69","9,582.54","9,594.00","9,406.38","201.72M","-1.88%"
"Feb 20, 2020","9,627.83","9,696.66","9,714.23","9,513.23","159.56M","-0.94%"
"Feb 19, 2020","9,718.73","9,683.94","9,736.57","9,676.07","148.28M","0.92%"
"Feb 18, 2020","9,629.80","9,567.28","9,647.72","9,567.28","152.63M","0.06%"
"Feb 14, 2020","9,623.58","9,613.88","9,634.75","9,583.08","145.56M","0.29%"
"Feb 13, 2020","9,595.70","9,540.67","9,636.41","9,532.74","162.35M","-0.18%"
"Feb 12, 2020","9,613.20","9,569.82","9,615.91","9,552.03","166.20M","1.00%"
"Feb 11, 2020","9,517.86","9,567.82","9,600.05","9,493.63","152.23M","0.01%"
"Feb 10, 2020","9,516.84","9,373.20","9,517.74","9,373.20","154.24M","1.23%"
"Feb 07, 2020","9,401.10","9,397.76","9,453.24","9,376.91","153.80M","-0.47%"
"Feb 06, 2020","9,445.92","9,395.69","9,448.72","9,357.86","165.90M","0.84%"
"Feb 05, 2020","9,367.48","9,441.34","9,442.75","9,311.88","193.60M","0.36%"
"Feb 04, 2020","9,334.05","9,256.94","9,352.96","9,224.86","199.77M","2.28%"
"Feb 03, 2020","9,126.23","9,033.52","9,148.50","9,031.07","183.06M","1.50%"
"Jan 31, 2020","8,991.51","9,169.91","9,170.22","8,961.59","217.22M","-1.58%"
"Jan 30, 2020","9,136.09","9,038.92","9,140.69","9,019.72","185.28M","0.38%"
"Jan 29, 2020","9,101.61","9,141.52","9,153.08","9,067.29","173.46M","0.12%"
"Jan 28, 2020","9,090.93","9,013.23","9,111.32","8,994.29","154.54M","1.55%"
"Jan 27, 2020","8,952.18","8,913.16","9,001.44","8,910.97","193.02M","-2.07%"
"Jan 24, 2020","9,141.47","9,266.35","9,272.37","9,101.44","187.99M","-0.82%"
"Jan 23, 2020","9,216.98","9,186.14","9,221.13","9,145.23","166.79M","0.31%"
"Jan 22, 2020","9,188.58","9,212.35","9,242.48","9,179.27","158.72M","0.24%"
"Jan 21, 2020","9,166.63","9,145.64","9,187.42","9,141.78","187.35M","-0.08%"
"Jan 17, 2020","9,173.73","9,159.48","9,176.47","9,118.98","200.48M","0.53%"
"Jan 16, 2020","9,125.00","9,088.08","9,126.07","9,066.31","143.14M","0.99%"
"Jan 15, 2020","9,035.67","9,039.31","9,078.87","9,008.95","136.69M","0.02%"
"Jan 14, 2020","9,033.42","9,068.02","9,080.16","9,020.92","154.92M","-0.41%"
"Jan 13, 2020","9,070.65","9,007.94","9,071.53","8,991.35","140.34M","1.16%"
"Jan 10, 2020","8,966.64","9,021.88","9,024.87","8,951.83","134.20M","-0.26%"
"Jan 09, 2020","8,989.63","8,990.04","9,004.55","8,938.53","150.73M","0.87%"
"Jan 08, 2020","8,912.37","8,845.45","8,953.55","8,834.94","164.57M","0.75%"
"Jan 07, 2020","8,846.45","8,857.14","8,872.47","8,821.68","151.39M","-0.02%"
"Jan 06, 2020","8,848.51","8,713.89","8,849.98","8,713.89","142.38M","0.62%"
"Jan 03, 2020","8,793.90","8,755.17","8,843.65","8,755.17","144.75M","-0.88%"
"Jan 02, 2020","8,872.22","8,802.22","8,873.63","8,786.90","152.65M","1.59%"
