"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2020","11,136.61","11,070.32","11,272.48","11,019.82","-","2.15%"
"Apr 08, 2020","10,902.59","10,641.51","10,939.97","10,538.65","-","3.47%"
"Apr 07, 2020","10,537.04","10,894.20","10,912.56","10,534.74","-","0.21%"
"Apr 06, 2020","10,515.24","10,264.13","10,560.73","10,233.04","-","6.42%"
"Apr 03, 2020","9,880.63","10,012.47","10,075.91","9,774.24","-","-1.81%"
"Apr 02, 2020","10,062.37","9,815.27","10,142.01","9,813.51","-","2.21%"
"Apr 01, 2020","9,844.85","9,917.31","10,029.00","9,766.80","-","-4.44%"
"Mar 31, 2020","10,301.87","10,387.73","10,499.80","10,237.22","-","-1.27%"
"Mar 30, 2020","10,434.74","10,238.13","10,455.77","10,131.60","-","2.43%"
"Mar 27, 2020","10,187.21","10,135.73","10,449.22","10,064.50","-","-3.31%"
"Mar 26, 2020","10,536.28","10,060.48","10,556.90","10,060.48","-","5.77%"
"Mar 25, 2020","9,961.38","9,749.80","10,303.90","9,591.74","-","3.14%"
"Mar 24, 2020","9,658.32","9,276.64","9,672.01","9,276.64","-","10.04%"
"Mar 23, 2020","8,777.38","9,014.58","9,053.49","8,664.94","-","-3.90%"
"Mar 20, 2020","9,133.16","9,577.90","9,676.94","9,108.15","-","-3.47%"
"Mar 19, 2020","9,461.31","9,313.76","9,622.21","9,048.36","-","0.82%"
"Mar 18, 2020","9,384.60","9,562.49","9,666.57","8,953.60","-","-6.74%"
"Mar 17, 2020","10,063.36","9,726.18","10,154.16","9,484.65","-","5.18%"
"Mar 16, 2020","9,567.53","10,851.98","10,851.98","9,559.23","-","-11.84%"
"Mar 13, 2020","10,851.98","10,445.44","10,851.98","10,060.35","-","7.86%"
"Mar 12, 2020","10,060.76","10,466.70","10,646.92","10,054.47","-","-9.99%"
"Mar 11, 2020","11,177.29","11,523.94","11,523.94","11,053.79","-","-5.22%"
"Mar 10, 2020","11,793.27","11,635.22","11,794.01","11,246.52","-","4.38%"
"Mar 09, 2020","11,298.43","11,748.61","11,748.61","11,240.77","-","-8.53%"
"Mar 06, 2020","12,352.03","12,593.03","12,593.03","12,106.74","-","-1.91%"
"Mar 05, 2020","12,593.03","12,740.86","12,786.64","12,489.77","-","-3.20%"
"Mar 04, 2020","13,009.96","12,696.61","13,011.45","12,673.90","-","3.73%"
"Mar 03, 2020","12,542.74","12,845.06","13,015.66","12,432.52","-","-2.22%"
"Mar 02, 2020","12,827.99","12,441.43","12,830.13","12,316.18","-","3.61%"
"Feb 28, 2020","12,380.97","12,547.25","12,547.25","12,024.45","-","-1.33%"
"Feb 27, 2020","12,547.25","12,841.40","12,977.18","12,544.99","-","-3.83%"
"Feb 26, 2020","13,046.62","13,194.31","13,323.34","13,041.94","-","-0.74%"
"Feb 25, 2020","13,143.73","13,570.21","13,582.74","13,110.09","-","-2.88%"
"Feb 24, 2020","13,534.12","13,654.00","13,654.00","13,493.68","-","-3.16%"
"Feb 21, 2020","13,975.78","14,014.63","14,014.63","13,931.13","-","-0.61%"
"Feb 20, 2020","14,061.48","14,061.04","14,104.92","13,955.75","-","-0.18%"
"Feb 19, 2020","14,087.13","14,077.51","14,115.95","14,066.24","-","0.34%"
"Feb 18, 2020","14,039.01","14,047.91","14,072.69","13,990.70","-","-0.41%"
"Feb 14, 2020","14,097.34","14,104.77","14,110.19","14,046.60","-","-0.01%"
"Feb 13, 2020","14,099.04","14,069.25","14,132.88","14,049.13","-","-0.27%"
"Feb 12, 2020","14,136.98","14,117.83","14,148.24","14,108.52","-","0.59%"
"Feb 11, 2020","14,054.08","13,984.48","14,100.27","13,984.48","-","0.50%"
"Feb 10, 2020","13,984.48","13,904.02","13,984.55","13,899.53","-","0.38%"
"Feb 07, 2020","13,931.93","13,987.51","13,987.51","13,912.04","-","-0.73%"
"Feb 06, 2020","14,034.95","14,066.90","14,069.33","14,023.48","-","0.07%"
"Feb 05, 2020","14,024.86","13,964.00","14,029.91","13,947.59","-","1.17%"
"Feb 04, 2020","13,862.84","13,826.10","13,920.63","13,826.10","-","1.35%"
"Feb 03, 2020","13,677.92","13,655.89","13,765.33","13,655.89","-","0.47%"
"Jan 31, 2020","13,614.10","13,783.81","13,788.22","13,573.04","-","-1.79%"
"Jan 30, 2020","13,861.92","13,745.20","13,869.64","13,699.81","-","0.13%"
"Jan 29, 2020","13,843.81","13,912.79","13,922.44","13,843.79","-","-0.24%"
"Jan 28, 2020","13,877.61","13,812.65","13,913.59","13,798.34","-","0.78%"
"Jan 27, 2020","13,769.60","13,746.63","13,826.43","13,742.01","-","-1.49%"
"Jan 24, 2020","13,978.47","14,120.02","14,120.02","13,920.57","-","-0.88%"
"Jan 23, 2020","14,102.04","14,064.28","14,109.59","14,003.28","-","-0.06%"
"Jan 22, 2020","14,110.24","14,147.89","14,168.20","14,104.06","-","0.00%"
"Jan 21, 2020","14,109.98","14,126.12","14,153.02","14,102.39","-","-0.52%"
"Jan 17, 2020","14,183.20","14,168.14","14,183.26","14,156.40","-","0.29%"
"Jan 16, 2020","14,141.78","14,103.53","14,142.31","14,094.88","-","0.63%"
"Jan 15, 2020","14,053.23","14,022.30","14,089.94","14,021.18","-","0.11%"
"Jan 14, 2020","14,037.13","14,024.23","14,068.58","14,005.63","-","-0.04%"
"Jan 13, 2020","14,042.65","13,980.47","14,042.65","13,963.87","-","0.61%"
"Jan 10, 2020","13,957.97","14,018.12","14,021.65","13,941.52","-","-0.28%"
"Jan 09, 2020","13,997.65","13,974.07","14,004.42","13,960.17","-","0.45%"
"Jan 08, 2020","13,934.44","13,897.01","13,986.69","13,896.59","-","0.26%"
"Jan 07, 2020","13,898.45","13,911.19","13,923.51","13,880.53","-","-0.31%"
"Jan 06, 2020","13,941.80","13,856.72","13,943.30","13,852.73","-","0.18%"
"Jan 03, 2020","13,917.05","13,877.48","13,950.74","13,870.74","-","-0.61%"
"Jan 02, 2020","14,002.49","13,913.03","14,003.39","13,913.03","-","0.64%"
